t_seconds,soc_percent
445,42.08014070455437
446,42.15388667449305
447,42.227640182908665
448,42.301401230571805
449,42.375169818253156
450,42.44894594672346
451,42.52272961675357
452,42.5965208291144
453,42.67031958457693
454,42.74412588391224
455,42.817939727891485
456,42.89176111728589
457,42.965590052866766
458,43.039426535405504
459,43.11327056567357
460,43.187122144442505
461,43.26098127248394
462,43.33484795056957
463,43.408722179471184
464,43.48260395996064
465,43.55649329280988
466,43.630390178790925
467,43.70429461867587
468,43.77820661323689
469,43.85212616324624
470,43.92605326947626
471,43.99998793269936
472,44.07393015368804
473,44.14787993321486
474,44.221837272052475
475,44.295802170973616
476,44.369774630751095
477,44.44375465215779
478,44.51774223596668
479,44.591737382950804
480,44.66574009388329
481,44.739750369537326
482,44.81376821068621
483,44.8877936181033
484,44.96182659256204
485,45.03586713483595
486,45.109915245698616
487,45.18397092592373
488,45.25803417628505
489,45.33210499755641
490,45.406183390511714
491,45.48026935592497
492,45.55436289457024
493,45.62846400722169
494,45.70257269465354
495,45.776688957640104
496,45.85081279695577
497,45.924944213375014
498,45.99908320767238
499,46.0732297806225
500,46.14738393300007
501,46.22154566557989
502,46.29571497913682
503,46.3698918744458
504,46.444076352281854
505,46.51826841342009
506,46.59246805863568
507,46.6666752887039
508,46.74089010440008
509,46.81511250649964
510,46.88934249577808
511,46.96358007301098
512,47.037825238974
513,47.11207799444288
514,47.18633834019342
515,47.26060627700153
516,47.33488180564318
517,47.40916492689442
518,47.48345564153139
519,47.5577539503303
520,47.63205985406745
521,47.7063733535192
522,47.780694449462004
523,47.855023142672394
524,47.929359433926976
525,48.003703324002444
526,48.078054813675564
527,48.152413903723186
528,48.22678059492223
529,48.301154888049716
530,48.375536783882715
531,48.4499262831984
532,48.524323386774014
533,48.59872809538688
534,48.67314040981441
535,48.74756033083408
536,48.82198785922345
537,48.89642299576017
538,48.97086574122196
539,49.045316096386614
540,49.11977406203202
541,49.19423963893614
542,49.26871282787701
543,49.34319362963275
544,49.41768204498156
545,49.49217807470171
546,49.56668171957157
547,49.64119298036957
548,49.715711857874226
549,49.790238352864144
550,49.86477246611799
551,49.93931419841453
552,50.01386355053259
553,50.08842052325109
554,50.162985117349024
555,50.237557333605466
556,50.31213717279957
557,50.386724635710564
558,50.46131972311777
559,50.535922435800586
560,50.61053277453848
561,50.685150740110984
562,50.759776333297744
563,50.83440955487848
564,50.909050405632975
565,50.98369888634111
566,51.058354997782814
567,51.133018740738144
